Disabled,Total Count,Sch_Div
N,232,Norfolk Highlands Primary Chesapeake City Public Schools
Y,41,Norfolk Highlands Primary Chesapeake City Public Schools
N,"1,809",Oscar F. Smith High Chesapeake City Public Schools
Y,459,Oscar F. Smith High Chesapeake City Public Schools
N,791,Oscar Smith Middle Chesapeake City Public Schools
Y,237,Oscar Smith Middle Chesapeake City Public Schools
N,499,Portlock Primary Chesapeake City Public Schools
Y,84,Portlock Primary Chesapeake City Public Schools
N,252,Rena B. Wright Primary Chesapeake City Public Schools
Y,41,Rena B. Wright Primary Chesapeake City Public Schools
N,647,Southeastern Elementary Chesapeake City Public Schools
Y,181,Southeastern Elementary Chesapeake City Public Schools
N,457,Southwestern Elementary Chesapeake City Public Schools
Y,91,Southwestern Elementary Chesapeake City Public Schools
N,390,Sparrow Road Intermediate Chesapeake City Public Schools
Y,89,Sparrow Road Intermediate Chesapeake City Public Schools
N,376,Thurgood Marshall Elementary Chesapeake City Public Schools
Y,54,Thurgood Marshall Elementary Chesapeake City Public Schools
N,206,Truitt Intermediate Chesapeake City Public Schools
Y,57,Truitt Intermediate Chesapeake City Public Schools
